carName,carPrice,carPriceBasedOn,lanchDate,carRating
Volkswagen Tiguan AllSpace,  ₹ 33.13 Lakhs  onwards ,Avg. Ex-Showroom price,06-Mar-2020,2 User Reviews
BMW X1,  ₹ 35.9 Lakhs  onwards ,Avg. Ex-Showroom price,05-Mar-2020,Be the first one to write a review
Mercedes-Benz GLC Coupe,  ₹ 62.7 Lakhs  onwards ,Avg. Ex-Showroom price,03-Mar-2020,1 User Review
Toyota Vellfire,  ₹ 79.5 Lakhs  onwards ,Avg. Ex-Showroom price,26-Feb-2020,Be the first one to write a review
Land Rover Defender,  ₹ 69.99 Lakhs  onwards ,Avg. Ex-Showroom price,26-Feb-2020,Be the first one to write a review
Maruti Suzuki Vitara Brezza,  ₹ 7.34 Lakhs  onwards ,Avg. Ex-Showroom price,24-Feb-2020,38 User Reviews
Maruti Suzuki Ignis,  ₹ 4.89 Lakhs  onwards ,Avg. Ex-Showroom price,18-Feb-2020,6 User Reviews
Land Rover Discovery Sport,  ₹ 57.06 Lakhs  onwards ,Avg. Ex-Showroom price,13-Feb-2020,Be the first one to write a review
Kia Carnival,  ₹ 24.95 Lakhs  onwards ,Avg. Ex-Showroom price,05-Feb-2020,11 User Reviews
Mercedes-Benz AMG GT 4-Door Coupe,  ₹ 2.42 Crores  onwards ,Avg. Ex-Showroom price,05-Feb-2020,Be the first one to write a review
Audi A8 L,  ₹ 1.56 Crores  onwards ,Avg. Ex-Showroom price,03-Feb-2020,1 User Review
Lexus LC 500h,  ₹ 1.96 Crores  onwards ,Avg. Ex-Showroom price,31-Jan-2020,2 User Reviews
Land Rover Range Rover Evoque,  ₹ 54.94 Lakhs  onwards ,Avg. Ex-Showroom price,30-Jan-2020,Be the first one to write a review
Mercedes-Benz GLE,  ₹ 73.7 Lakhs  onwards ,Avg. Ex-Showroom price,29-Jan-2020,1 User Review
Tata Nexon EV,  ₹ 13.99 Lakhs  onwards ,Avg. Ex-Showroom price,28-Jan-2020,11 User Reviews
MG ZS EV,  ₹ 20.88 Lakhs  onwards ,Avg. Ex-Showroom price,23-Jan-2020,3 User Reviews
Tata Nexon,  ₹ 6.95 Lakhs  onwards ,Avg. Ex-Showroom price,22-Jan-2020,53 User Reviews
Tata Tigor,  ₹ 5.75 Lakhs  onwards ,Avg. Ex-Showroom price,22-Jan-2020,12 User Reviews
Tata Tiago,  ₹ 4.6 Lakhs  onwards ,Avg. Ex-Showroom price,22-Jan-2020,41 User Reviews
Tata Altroz,  ₹ 5.29 Lakhs  onwards ,Avg. Ex-Showroom price,22-Jan-2020,54 User Reviews
Hyundai Aura,  ₹ 5.8 Lakhs  onwards ,Avg. Ex-Showroom price,21-Jan-2020,55 User Reviews
Audi Q8,  ₹ 1.34 Crores  onwards ,Avg. Ex-Showroom price,15-Jan-2020,3 User Reviews
Porsche Cayenne Coupe,  ₹ 1.32 Crores  onwards ,Avg. Ex-Showroom price,13-Dec-2019,Be the first one to write a review
Jaguar XE,  ₹ 44.98 Lakhs  onwards ,Avg. Ex-Showroom price,04-Dec-2019,2 User Reviews
Mercedes-Benz GLC,  ₹ 52.75 Lakhs  onwards ,Avg. Ex-Showroom price,03-Dec-2019,1 User Review
Tata Tigor EV,  ₹ 10.55 Lakhs  onwards ,Avg. Ex-Showroom price,02-Dec-2019,Be the first one to write a review
Audi A6,  ₹ 54.43 Lakhs  onwards ,Avg. Ex-Showroom price,24-Oct-2019,7 User Reviews
Hyundai Elantra,  ₹ 15.9 Lakhs  onwards ,Avg. Ex-Showroom price,03-Oct-2019,6 User Reviews
Renault Kwid,  ₹ 3.02 Lakhs  onwards ,Avg. Ex-Showroom price,01-Oct-2019,81 User Reviews
Maruti Suzuki S-Presso,  ₹ 3.71 Lakhs  onwards ,Avg. Ex-Showroom price,30-Sep-2019,145 User Reviews
Volkswagen Polo,  ₹ 5.87 Lakhs  onwards ,Avg. Ex-Showroom price,04-Sep-2019,84 User Reviews
Volkswagen Vento,  ₹ 8.81 Lakhs  onwards ,Avg. Ex-Showroom price,04-Sep-2019,21 User Reviews
Renault Triber,  ₹ 5 Lakhs  onwards ,Avg. Ex-Showroom price,28-Aug-2019,179 User Reviews
Kia Seltos,  ₹ 9.89 Lakhs  onwards ,Avg. Ex-Showroom price,22-Aug-2019,301 User Reviews
BMW 3 Series,  ₹ 47.49 Lakhs  onwards ,Avg. Ex-Showroom price,21-Aug-2019,15 User Reviews
Maruti Suzuki XL6,  ₹ 9.85 Lakhs  onwards ,Avg. Ex-Showroom price,21-Aug-2019,84 User Reviews
Hyundai Grand i10 Nios,  ₹ 5.05 Lakhs  onwards ,Avg. Ex-Showroom price,20-Aug-2019,133 User Reviews
Jeep Wrangler,  ₹ 63.94 Lakhs  onwards ,Avg. Ex-Showroom price,09-Aug-2019,5 User Reviews
Porsche Macan,  ₹ 69.98 Lakhs  onwards ,Avg. Ex-Showroom price,29-Jul-2019,2 User Reviews
BMW X7,  ₹ 92.49 Lakhs  onwards ,Avg. Ex-Showroom price,25-Jul-2019,1 User Review
BMW 7 Series,  ₹ 1.35 Crores  onwards ,Avg. Ex-Showroom price,25-Jul-2019,3 User Reviews
